ASO_C0000830_08	1046	523	115	62	0.2146004	0.04101
ASO_C0000830_02	1978	989	222	120	0.1129272	0.06653
ASO_C0008202_01	4640	2320	2755	1350	0.9529314	0.97731
ASO_C0008202_02	2510	1255	1377	666	0.9674974	0.96457
ASO_C0008202_04	2466	1233	1653	819	0.7534437	0.2347
ASO_C0008543_AD_10	2696	1348	871	444	0.2549761	0.33123
ASO_C0008586_03	2338	1169	129	47	0.99948	0.97815
ASO_C0008543_05	5844	2922	1893	944	0.5665957	0.39333
ASO_C0011632_03	1442	721	80	40	0.5457507	0.64259
ASO_C0011632_10	2788	1394	138	66	0.7293954	0.92449
ASO_C0011632_AD_01	2486	1243	126	50	0.9933632	0.9531
ASO_C0011632_AD_03	2102	1051	108	54	0.5393227	0.82838
ASO_C0019316_01	942	471	502	244	0.8363514	0.91866
ASO_C0019316_08	1342	671	760	375	0.7277007	0.99813
ASO_C0013510_06	4092	2046	215	101	0.8366774	0.31719
ASO_C0020443_03	1704	852	424	211	0.5667403	0.30951
ASO_C0020443_06	3260	1630	697	344	0.6653688	0.64969
ASO_C0020672_02	3890	1945	142	78	0.1331665	0.65722
ASO_C0020984_02	830	415	78	37	0.7238866	0.46634
ASO_C0020672_01	13578	6789	509	268	0.1200525	0.00029
ASO_C0020984_09	5616	2808	395	190	0.7981126	0.93537
ASO_C0020672_07	12398	6199	400	203	0.3997143	0.15699
ASO_G0142396_AD_01	3714	1857	370	186	0.4781576	0.09869
ASO_G0163364_04	1562	781	671	335	0.5407099	0.85047
ASO_G0163364_06	2806	1403	1175	551	0.9976888	0.9987
ASO_G0143429_05	8352	4176	752	364	0.830385	0.98768
ASO_G0180769_03	866	433	435	228	0.08701315	0.08095
ASO_G0142396_AD_07	12648	6324	1411	721	0.1984137	0.0
ASO_G0180769_AD_03	2658	1329	1247	647	0.03688753	0.1071
ASO_G0180769_08	3876	1938	1815	959	0.0005116633	0.00845
ASO_G0182165_AD_04	640	320	183	85	0.8896862	0.42843
ASO_G0163364_AD_01	9802	4901	5047	2421	0.9999844	1.0
ASO_G0182165_AD_10	2794	1397	645	326	0.393826	0.37103
ASO_G0186615_03	2138	1069	470	245	0.1605442	0.59098
ASO_G0182165_AD_08	5042	2521	1236	656	0.007027139	0.08953
ASO_G0186615_09	1570	785	298	162	0.05376353	0.43654
ASO_G0188070_AD_05	2894	1447	2481	1245	0.3353796	0.01142
ASO_G0186615_04	4276	2138	950	488	0.1788725	0.4553
ASO_G0198468_03	1086	543	103	47	0.8498302	0.79302
ASO_G0198468_01	2916	1458	301	159	0.1650671	0.2937
ASO_G0198468_07	1282	641	133	61	0.8641628	0.5819
ASO_G0203721_02		
ASO_G0203721_05	3270	1635	2269	1077	0.9999947	0.99784
ASO_G0203706_01	5764	2882	4142	2119	0.002691646	0.01392
ASO_G0203739_AD_03	1516	758	113	71	0.002984089	0.00056
ASO_G0204054_01	754	377	170	87	0.3969043	0.14664
ASO_G0204054_10	2006	1003	490	244	0.561937	0.64402
ASO_G0204054_06	4904	2452	1343	652	0.8998885	0.92402
ASO_G0204272_03	1522	761	108	53	0.617649	0.21084
ASO_G0203739_10	13662	6831	1085	609	1.450233e-05	0.0
ASO_G0204272_04	1504	752	116	57	0.6140092	0.0444
ASO_G0205181_01	2242	1121	1821	905	0.7417945	0.99161
ASO_G0205485_03	2172	1086	951	499	0.02331088	0.00958
ASO_G0212978_01	2728	1364	66	31	0.7332148	0.88257
ASO_G0205485_01	8420	4210	4021	2163	1.617264e-11	0.0
ASO_G0212978_02	2074	1037	46	21	0.7718364	0.61745
ASO_G0212978_04	1378	689	25	8	0.9792885	0.49536
ASO_G0214174_02	2010	1005	1065	535	0.4290664	0.63211
ASO_G0212978_03	5886	2943	129	61	0.7617634	0.97183
ASO_G0214174_06	2388	1194	1192	594	0.5810693	0.46949
ASO_G0214548_AD_06	132	66	11	6	0.5	0.6959769597695977
ASO_G0214548_01	9856	4928	1006	550	0.000980481	0.00013
ASO_G0215039_01	7846	3923	4286	2039	0.9999989	1.0
ASO_G0214548_AD_09	8896	4448	1035	593	3.392661e-07	0.0
ASO_G0215447_01	1242	621	1024	511	0.5885104	0.5957
ASO_G0215447_03	882	441	672	337	0.4685012	0.42599
ASO_G0216775_03	1082	541	293	146	0.5544077	0.63929
ASO_G0216775_01	3710	1855	965	458	0.9693579	0.97215
ASO_G0218510_04	3672	1836	1518	716	0.9982275	0.98855
ASO_G0219665_08	1720	860	29	13	0.7728013	0.0822
ASO_G0218510_AD_03	6674	3337	2898	1448	0.5295295	0.59907
ASO_G0218510_AD_06	5988	2994	2473	1235	0.5418054	0.79958
ASO_G0219665_AD_04	1524	762	32	20	0.1052306	0.1163
ASO_G0219665_AD_08	1202	601	29	18	0.12954	0.51623
ASO_G0221817_AD_08	1190	595	158	67	0.9837729	0.99975
ASO_G0223485_01		
ASO_G0223485_AD_04		
ASO_G0223478_03	4676	2338	262	123	0.8601591	0.35483
ASO_G0221817_04	6258	3129	831	363	0.9999614	0.99948
ASO_G0223546_01	858	429	156	83	0.2128653	0.54184
ASO_G0223773_05	1246	623	59	41	0.001515342	0.0
ASO_G0223546_02	4260	2130	934	442	0.9705455	0.94173
ASO_G0223485_AD_06	5814	2907	2673	1282	0.998104	0.9676
ASO_G0223773_06	1606	803	106	73	3.743928e-05	0.00386
ASO_G0223773_07	3308	1654	211	148	7.112899e-10	0.0
ASO_G0223811_06	636	318	98	44	0.8865664	0.97361
ASO_G0223811_04	3246	1623	492	218	0.9973825	0.98952
ASO_G0223960_AD_10	604	302	44	16	0.9796232	0.85071
ASO_G0224086_03	1292	646	1086	532	0.9598467	0.52993
ASO_G0224086_04		
ASO_G0223960_08	3366	1683	227	116	0.3917197	0.17
ASO_G0224086_06	1300	650	1207	605	0.4148562	0.06742
ASO_G0224165_AD_07	1814	907	619	322	0.1173111	0.09263
ASO_G0224577_01	1692	846	417	208	0.5449103	0.95637
ASO_G0224165_10	6826	3413	2528	1347	1.761575e-05	0.0001
ASO_G0224577_05	1258	629	289	151	0.2106305	0.55394
ASO_G0224577_02	6066	3033	1689	846	0.4771577	0.20461
